DATAATUAL|CREDOR|TIPO DE COMUNICACAO|NUMERO DO PROCESSO|JUIZO|COMARCA|DATA DE ABERTURA DO PROCESSO|RECUPERANDA/FALIDA/INSOLVENTE|CNPJ|LOGRADOURO|NUMERO|BAIRRO|CIDADE|ESTADO|CEP|NATUREZA|VALOR|CLASSIFICACAO|REGISTRADO|CEP_CREDOR|LOGRADOURO_CREDOR|NUMERO_CREDOR|COMPLEMENTO_CREDOR|BAIRRO_CREDOR|CIDADE_CREDOR|ESTADO_CREDOR|ETIQUETA
04/07/2023|                             G I I  FIDC|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 37.216,44|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00061|01452002|SENADOR JOAQUIM PEDRO SALGADO FILHO 203|203||CENTRO|Bento Gonçalves|RS|YA063637624BR
04/07/2023|RDF  FUNDO DE INVESTIMENTOS  EM DIREITOS|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 3.506,01|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00107|01452002|AV BRIGADEIRO FARIA LIMA|135||JARDIM PAULISTANO|São Paulo|SP|YA063637638BR
04/07/2023|               RNX FUNDO DE INVESTIMENTO|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 232.041,72|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00112|01452002|AV GETULIO VARGAS|63||CENTRO|Brusque|SC|YA063637641BR
04/07/2023|STARS BANK FUNDO DE INVESTIMENTO CREDITO|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 112.480,06|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00128|01452919|AV BRIGADEIRO FARIA LIMA|1355||JARDIM PAULISTANO|São Paulo|SP|YA063637655BR
04/07/2023|                QUIMLOG TRANSPORTES LTDA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 12.000,00|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00105|03433060|R TAGUATO|53||VILA FERNANDES|São Paulo|SP|YA063637669BR
04/07/2023|              PETROBRAS DISTRIBUIDORA SA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 2.349.078,34|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00096|04230040|R ALMIRANTE DELAMARE|1335||CIDADE NOVA HELIOPOL|São Paulo|SP|YA063637672BR
04/07/2023|OG CRED FUNDO DE INVESTIMENTO EM DIREITO|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 5.232.452,82|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00092|04538133|BRIGADEIRO FARIA LIMA|3900||ITAIM BIBI|São Paulo|SP|YA063637686BR
04/07/2023|             VALOREM FUNDO INV CRED MULT|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 598.995,98|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00141|04543000|AV PRES JUSCELINO KUBITSCHEK|50||VILA NOVA CONCEICAO|São Paulo|SP|YA063637690BR
04/07/2023|     CREDIT BRASIL FOMENTO MERCANTIL S A|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 149.736,75|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00042|04576080|RUA JAMES JOULE|65|5 ANDAR|COND TORRE SUL|MONCOES|SP|YA063637709BR
04/07/2023|ALEMOLDE INDUSTRIA E COMERCIO DE EMBALAG|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 1.392,30|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00017|05275050|R ALOISIO MAGALHAES|453||CHACARA MARIA TRINDA|São Paulo|SP|YA063637712BR
